,Product Name,Price
0,[OLX AUTOS] Chevrolet Trax 1.4 Turbo LTZ Bensin-AT 2017 PIR,Rp 164.000.000
1,[OLX AUTOS] Suzuki Ignis 1.2 GX Bensin-AT 2018 EYF,Rp 125.000.000
2,[OLX AUTOS] Toyota Camry 2.5 V Bensin-AT 2015 JGC,Rp 230.000.000
3,[OLX AUTOS] Toyota Calya 1.2 G Bensin-AT 2017 ERC,Rp 103.000.000
4,Renault KWID 1.0 Climber 2019 A/T 1st hand,Rp 99.000.000
5,"MITSUBISHI XPANDER Km21Rb 2020 GLS ALNEW MANUAL 
Tahun  2020",Rp 168.000.000
6,Mercedes-Benz E300 2010 Bensin,Rp 239.000.000
7,MINI COOPER PACEMAN 2014 COLLECTOR ITEM RARE,Rp 425.000.000
8,"Velg Ring 20 Replika Alpina BMW PCD 5 × 120 / 5 × 112 / 5 × 114,3 R20",Rp 8.500.000
9,Velg Ring 18 OEM Mercedes Benz R230 W230 SL500 SL 500 PCD 5 × 112 R18,Rp 8.500.000
10,Mercedes benz S350 FULL SPEC panoramic rare siap pakai,Rp 215.000.000
11,Avanza G MT 2012 Cash,Rp 105.000.000
12,Toyota Corolla Altis 1.8 G A/T 2008,Rp 103.500.000
13,"Cash! Mercy V220d solar 2016 km low. Vito, vino 2014, 2015, 2017, 2018",Rp 495.000.000
14,"Jeep Rubicon rare interior coklat, istimewa low KM",Rp 1.150.000.000
15,"Audi Q7 3.0 S-line 2014 / 2013 tgn1, gres 2011, 2012, 2013, 2014, 2015",Rp 360.000.000
16,Mitsubishi Galant 2003 AT PR cuma 1,Rp 85.000.000
17,E 250 Coupe 2012 Putih Interiot Merah Full Ori 100% Tgn 1 km 40rb (KM),Rp 475.000.000
18,KM 35rb nik 14 Mini Cooper S Countryman Panoramic 1.6L Tahun 2014,Rp 409.000.000
19,[OLX AUTOS] Suzuki Ignis 1.2 GX Bensin-AT 2018 EYF,Rp 125.000.000
